rep_point_x,rep_point_y,parent_block_uid,child_block_uid
7453167.092938442,1160847.44,16261,289175
7447942.416303612,1159915.6357142858,16242,289162
7445582.40529888,1160806.642857143,16242,289165
7452433.93880083,1161292.6385714286,16261,289168
7452705.200059065,1161144.8557142857,16261,289172
7448002.09226944,1164443.6014285714,16241,289151
7452691.667042011,1160343.734285714,16261,289183
7454720.287033051,1154438.01,16287,289348
7454510.61030419,1156276.4714285715,16287,289328
7450952.8415197525,1156896.6657142858,16227,289330
7446297.0203076415,1161890.0114285713,16242,289157
7443384.45376285,1163157.9014285714,16242,289154
7440376.971527567,1175395.6600000001,16238,311615
7433639.598471886,1190031.7614285715,17623,312182
7432267.1427532695,1191200.5985714286,17624,312183
7482882.92670513,1200522.92,17397,314289
7484545.692042042,1200333.4528571428,17515,314320
7484191.299945271,1200363.9,17515,314322
7481467.336317518,1200326.6742857143,17393,314326
7484048.13837108,1200290.4414285715,17513,314327
7482793.07973867,1200372.1414285714,17397,314330
7481386.173150367,1200307.1114285714,17398,314333
7484041.738581106,1200165.9700000002,17513,314336
7483960.4701989535,1200149.7428571428,17513,314337
7484714.325459242,1200139.8771428573,17496,314340
7481760.492227957,1200084.407142857,17398,314342
7482306.579374074,1199360.657142857,17519,314490
7481653.768917669,1199342.234285714,17405,314514
7485173.1147599835,1199201.342857143,17486,314516
7482053.026837742,1198932.45,17519,314517
7480767.122333648,1199255.93,17400,314518
7482991.224298138,1199132.1314285714,17518,314521
7440021.337770624,1190445.4742857143,17618,311207
7444994.569826109,1189482.6957142856,17626,311208
7440085.953983451,1190272.1328571427,17614,311210
7440296.881146699,1190105.9371428571,17614,311212
7440451.569829129,1190086.077142857,17614,311213
7443569.128618914,1190089.3714285714,17626,311214
7440098.872564935,1190134.9342857143,17614,311215
7440506.035708623,1189949.7542857144,17614,311216
7443841.485476725,1189941.35,17626,311217
7440548.21422435,1189824.5942857142,17614,311218
7440783.140907971,1189712.5185714285,17614,311220
7483826.081571295,1197501.9957142859,17508,315008
7483394.409439429,1197263.0999999999,17584,315014
7482983.617867141,1197324.4385714286,17425,315015
7483440.72595956,1197526.4457142858,17425,315016
7483317.43841688,1197313.9471428571,17425,315019
7482187.527180242,1197293.7771428572,17521,315021
7437730.603335783,1177868.1871428571,17616,311410
7428769.63781311,1173097.2057142858,16225,311627
7439622.972705448,1174255.6742857143,16238,311631
7433407.217451926,1174054.38,17619,311632
7424335.017459839,1174175.9571428571,16225,311634
7438922.6755499,1173425.8157142857,17619,311646
7438703.752949454,1173597.2828571429,17619,311650
7429552.611494314,1171499.0685714285,16225,311667
7432970.486362824,1170165.7485714285,16225,311669
7482203.999856884,1199944.19,17401,314344
7484554.867797639,1199960.9185714286,17601,314366
7483851.668064343,1200039.0342857144,17513,314347
7484874.99206096,1200043.597142857,17601,314348
7483347.578093564,1200047.637142857,17517,314351
7481258.670808222,1200119.622857143,17396,314352
7481667.061516506,1200140.2028571428,17398,314354
7484667.800598897,1199936.77,17601,314355
7484934.868367338,1199938.3285714285,17488,314357
7481983.023784852,1200087.0842857142,17401,314358
7481256.3686870895,1200047.9957142856,17396,314360
7484780.991288423,1200080.9214285715,17601,314361
7483256.604958834,1199986.47,17517,314362
7483917.769010631,1200077.9657142856,17513,314365
7484134.99282117,1199797.2142857143,17513,314371
7484499.920228917,1199906.3857142855,17601,314374
7484458.655048825,1199764.2,17601,314377
7483992.563788628,1199854.8742857142,17513,314379
7482317.020020051,1199859.5228571428,17401,314380
7484837.69671848,1199841.7085714287,17601,314381
7481240.956367224,1199753.765714286,17403,314383
7481296.760844149,1199702.4157142858,17403,314386
7484696.350793133,1199761.2000000002,17601,314389
7480862.09674675,1199735.3928571427,17393,314392
7481979.877418762,1199731.677142857,17405,314394
7441005.15765433,1184977.5457142857,17622,311258
7430111.372969461,1186184.9142857143,16240,311259
7430064.546046962,1186119.5285714287,16240,311261
7430226.940263165,1186087.8114285716,16240,311262
7437662.512363197,1185509.8457142857,17622,311263
7429988.862677786,1186015.6785714286,16239,311265
7430162.035911964,1186020.3557142857,16239,311266
7430206.506516308,1185960.8800000001,16239,311269
7429786.198534841,1186001.03,16240,311270
7430289.9150558375,1185900.6814285712,16239,311271
7429914.252703747,1185910.7214285715,16239,311272
7430072.252365189,1185909.097142857,16240,311273
7430479.837338883,1185779.1985714287,16239,311274
7430187.44075647,1185825.7057142858,16240,311275
7430023.356775371,1185838.0514285713,16239,311276
7430138.787814554,1185756.137142857,16240,311277
7430360.1665707445,1185657.22,16239,311279
7430267.063282456,1185578.27,16240,311281
7435656.477864141,1182592.9242857143,17616,311303
7440557.1791360015,1180742.1828571428,17622,311305
7446883.699394999,1181321.9285714286,17620,311307
7431285.835615745,1182181.612857143,17616,311309
7443909.158158923,1181538.5528571429,17622,311311
7484708.307377385,1198886.5714285714,17603,314593
7484624.801508332,1198976.3542857142,17603,314574
7480874.267304928,1199038.6871428571,17411,314583
7439148.149609391,1192066.8514285716,17618,312149
7438135.916337529,1191807.927142857,17615,312151
7439029.5103267,1192038.132857143,17615,312157
7439264.308723569,1191843.7414285715,17618,312159
7484520.502696136,1199340.89,17603,314398
7481485.4005123265,1199675.637142857,17403,314399
7480676.083953535,1199503.9814285715,17400,314401
7481629.287608003,1199789.7442857143,17408,314402
7484254.628317125,1199731.1042857144,17601,314405
7484475.5676377565,1199533.7171428571,17601,314421
7482600.970235101,1199669.48,17517,314422
7484842.987121277,1199501.2928571429,17603,314428
7482169.571216392,1198780.8214285714,17528,314623
7485005.01397309,1198555.1314285714,17503,314626
7434352.893225641,1177395.867142857,16238,311543
7434531.901554305,1177560.4500000002,16238,311549
7443758.465672972,1176184.4928571428,17613,311555
7434418.775131045,1176436.3357142857,16238,311565
7449756.538515149,1169561.7585714287,16243,311706
7445524.70407068,1169701.2657142857,16243,311707
7446146.041754639,1169374.6614285714,16243,311713
7446352.781620454,1169546.342857143,16243,311714
7450788.050585067,1169635.7685714285,16241,311715
7483496.719673682,1199487.572857143,17518,314433
7484922.782055138,1199374.117142857,17603,314442
7481045.391545304,1199474.3414285714,17403,314444
7450325.956777055,1168844.6142857142,16241,311739
7437885.160122573,1166541.3885714286,16225,311741
7450188.345360157,1168926.4714285713,16241,311742
7451088.161804084,1168833.43,16241,311743
7449177.234611042,1168441.8314285714,16243,311744
7445882.344435988,1167229.13,16242,311745
7443526.839430431,1168383.72,16244,311748
7443795.19933049,1168039.7385714287,16244,311749
7451472.10158203,1168078.48,16241,311752
7450392.295730431,1167548.2071428571,16241,311755
7440940.273825279,1167155.3028571429,16244,311759
7443384.804645108,1167619.2857142857,16244,311760
7482622.453947712,1199383.8185714288,17588,314464
7484803.2476780685,1199374.0014285715,17603,314465
7480495.249994302,1199498.7528571428,17400,314469
7483228.658814893,1199345.5471428572,17518,314470
7482914.281094136,1199227.4585714287,17518,314473
7482800.991806388,1199328.7857142857,17517,314474
7483513.613360372,1199272.515714286,17514,314478
7439743.813876296,1190856.607142857,17618,311188
7438925.413157388,1191044.172857143,17615,311189
7438060.446284752,1191262.9528571428,17627,311191
7437846.871843737,1191224.1557142856,17627,311192
7470757.622725455,1190052.0228571428,17087,317442
7438048.621898595,1184349.9857142856,17622,311292
7428079.451805722,1180049.3185714288,16237,311394
7447710.100487856,1175592.877142857,17621,311610
7428651.814959651,1177901.3357142857,16238,311398
7428009.517882579,1179942.1242857142,16237,311399
7437404.480430698,1179710.6785714286,17622,311400
7449611.31394778,1175962.4442857143,17120,311593
