arc_uid,source,target,interior_flag,edge_uid,child_block_uid,parent_block_uid,leftrightflag,street_uid
812091,10983,12517,1,3219392,716965,17415,L,254679
812091,12517,10983,1,3219393,716965,17415,R,254679
4580795,10154,17754,0,7236791,317549,16882,L,268958
4580795,17754,10154,0,7236792,1210555,16882,R,268958
2051013,21808,216,0,1623046,319973,16492,L,319082
2051013,216,21808,0,1622827,803361,16492,R,319082
2056552,1525,19067,0,1635461,321528,16399,L,64450
2056552,19067,1525,0,1635459,321543,16399,R,64450
4579456,60,8261,0,7230781,552797,17602,L,25645
4579456,8261,60,0,7230782,1042100,17602,R,25645
900412,1420,9126,0,3219760,552752,17580,L,165289
900412,9126,1420,0,3219759,552780,17580,R,165289
2053746,21752,2183,0,1626333,320806,16784,L,240059
2053746,2183,21752,0,1626332,1154960,16784,R,240059
2056331,7402,1351,0,1628610,321476,16326,L,61719
2056331,1351,7402,0,1628636,321469,16326,R,61719
4577939,21750,1094,0,7230975,317567,16622,L,314197
4577939,1094,21750,0,7230976,317607,16622,R,314197
2037048,11451,21429,1,1604499,315285,17312,L,245902
2037048,21429,11451,1,1604620,315285,17312,R,245902
2055369,22576,9610,0,1635661,321216,16542,L,428347
2055369,9610,22576,0,1635660,321207,16542,R,428347
3146514,7599,5871,0,4305234,1154862,17180,L,398941
3146514,5871,7599,0,4305235,1147484,17180,R,398941
2035889,23157,14851,0,1603400,315025,17584,L,266764
2035889,14851,23157,0,1603463,315062,17584,R,266764
3752511,19593,3610,0,6021608,320219,16805,L,82136
3752511,3610,19593,0,6021609,320196,16763,R,82136
2057090,8445,13207,0,1629358,321671,16474,R,390099
2057090,13207,8445,0,1629359,321569,16483,L,390099
3146994,1585,8925,1,4307387,1043489,16589,R,335942
3146994,8925,1585,1,4307386,1043489,16589,L,335942
2053795,374,10802,0,1626398,320785,16690,L,136516
2053795,10802,374,0,1626397,320804,16690,R,136516
2055861,19902,1338,0,1628242,1194988,16323,L,306318
2055861,1338,19902,0,1628241,1076967,16311,R,306318
2056473,19139,6884,0,1628761,321510,16308,L,262922
2056473,6884,19139,0,1628732,321522,16308,R,262922
4576265,954,2428,0,7232790,1043611,16958,L,308520
4576265,2428,954,0,7232789,1043611,16958,R,308520
4607889,5669,7697,0,7293512,1077727,16574,L,314807
4607889,7697,5669,0,7293513,320371,16741,R,314807
4610199,15578,2454,0,7298584,741838,17327,L,120524
4610199,2454,15578,0,7298585,741835,17327,R,120524
2056126,5499,7885,0,1640259,321422,16476,L,252907
2056126,7885,5499,0,1628400,321358,16462,R,252907
3759688,59,20690,0,6030400,318374,17206,L,196993
3759688,20690,59,0,6030402,997305,17587,R,196993
2044643,12020,13238,0,1613906,317860,16790,L,62762
2044643,13238,12020,0,1613905,317961,16792,R,62762
4582285,14810,5689,0,7236737,321063,16321,L,275329
4582285,5689,14810,0,7236738,1147348,16271,R,275329
2049467,6646,11331,0,1621060,1005085,16584,R,262347
2049467,11331,6646,0,1621062,1147486,16587,L,262347
2023092,17588,8112,0,1584077,1076971,16240,L,95629
2023092,8112,17588,0,1584088,311245,16239,R,95629
2044104,3337,13533,0,1613105,814294,16621,L,301193
2044104,13533,3337,0,1637788,317724,16621,R,301193
2038764,20856,19906,0,1606601,315838,17378,L,80441
2038764,19906,20856,0,1606600,829636,17373,R,80441
2056825,13041,18537,0,1629060,742305,16247,L,62641
2056825,18537,13041,0,1629061,821518,16247,R,62641
2023201,9730,13883,0,1585054,1040537,16240,L,99599
2023201,13883,9730,0,1585056,311285,16240,R,99599
2052536,18780,19626,0,1624957,320433,16727,L,178795
2052536,19626,18780,0,1625152,320491,16727,R,178795
2049961,3726,21632,0,1619805,1154828,16578,R,336609
2049961,21632,3726,0,1621707,1043489,16589,L,336609
2037081,12758,9496,0,1604709,772866,17327,L,60071
2037081,9496,12758,0,1604708,772858,17327,R,60071
2040466,2442,3722,0,2744743,1000370,17220,L,0
2040466,3722,2442,0,2744744,1000370,17220,R,0
3498503,16819,8074,0,6348303,1067760,17459,L,134863
3498503,8074,16819,0,6348304,811626,17462,R,134863
2049321,17215,2276,0,1620825,319442,16613,L,104188
2049321,2276,17215,0,1620824,319414,16613,R,104188
2048063,13632,5428,0,1619056,319111,16600,L,281928
2048063,5428,13632,0,1619055,319090,16600,R,281928
4578773,6366,14315,0,7222397,1174831,17358,L,398514
4578773,14315,6366,0,7222398,1174831,17358,R,398514
4577496,13576,22188,0,7229701,1201355,16907,L,294778
4577496,22188,13576,0,7229702,1201355,16907,R,294778
2054604,16266,9872,0,6428586,320994,17018,R,50176
2054604,9872,16266,0,6428585,1004883,17018,L,50176
2036169,485,923,0,1603721,315145,17323,L,425510
2036169,923,485,0,1603720,315147,17323,R,425510
2039521,10539,7523,0,1607443,812983,17287,L,273679
2039521,7523,10539,0,1632258,316116,17287,R,273679
3311401,12715,10597,0,4538955,339474,16552,L,129134
3311401,10597,12715,0,4538956,339507,16552,R,129134
2036571,12387,4833,0,1604024,315202,17327,L,84702
